[14:13:51] WARNING: C:/Users/Administrator/workspace/xgboost-win64_release_1.6.0/src/learner.cc:627:
Parameters: { "scale_pos_weight" } might not be used.
  This could be a false alarm, with some parameters getting used by language bindings but
  then being mistakenly passed down to XGBoost core, or some parameter actually being used
  but getting flagged wrongly here. Please open an issue if you find any such cases.
[0]	validation_0-mlogloss:1.68541
[1]	validation_0-mlogloss:1.49611
[2]	validation_0-mlogloss:1.34531
[3]	validation_0-mlogloss:1.22358
[4]	validation_0-mlogloss:1.12117
[5]	validation_0-mlogloss:1.03371
[6]	validation_0-mlogloss:0.95795
[7]	validation_0-mlogloss:0.89245
[8]	validation_0-mlogloss:0.83420
[9]	validation_0-mlogloss:0.78286
[10]	validation_0-mlogloss:0.73723
[11]	validation_0-mlogloss:0.69685
[12]	validation_0-mlogloss:0.66073
[13]	validation_0-mlogloss:0.62816
[14]	validation_0-mlogloss:0.59920
[15]	validation_0-mlogloss:0.57367
[16]	validation_0-mlogloss:0.55006
[17]	validation_0-mlogloss:0.52939
[18]	validation_0-mlogloss:0.51034
[19]	validation_0-mlogloss:0.49330
[20]	validation_0-mlogloss:0.47771
[21]	validation_0-mlogloss:0.46333
[22]	validation_0-mlogloss:0.45021
[23]	validation_0-mlogloss:0.43838
[24]	validation_0-mlogloss:0.42792
[25]	validation_0-mlogloss:0.41865
[26]	validation_0-mlogloss:0.41006
[27]	validation_0-mlogloss:0.40233
[28]	validation_0-mlogloss:0.39534
[29]	validation_0-mlogloss:0.38914
[30]	validation_0-mlogloss:0.38336
[31]	validation_0-mlogloss:0.37787
[32]	validation_0-mlogloss:0.37304
[33]	validation_0-mlogloss:0.36868
[34]	validation_0-mlogloss:0.36475
[35]	validation_0-mlogloss:0.36123
[36]	validation_0-mlogloss:0.35811
[37]	validation_0-mlogloss:0.35527
[38]	validation_0-mlogloss:0.35257
[39]	validation_0-mlogloss:0.35010
[40]	validation_0-mlogloss:0.34839
[41]	validation_0-mlogloss:0.34637
[42]	validation_0-mlogloss:0.34487
[43]	validation_0-mlogloss:0.34327
[44]	validation_0-mlogloss:0.34159
[45]	validation_0-mlogloss:0.34034
