[0]	validation_0-mlogloss:1.67990
[1]	validation_0-mlogloss:1.48722
[2]	validation_0-mlogloss:1.33671
[3]	validation_0-mlogloss:1.21140
[4]	validation_0-mlogloss:1.10736
[5]	validation_0-mlogloss:1.01754
[6]	validation_0-mlogloss:0.94048
[7]	validation_0-mlogloss:0.87286
[8]	validation_0-mlogloss:0.81374
[9]	validation_0-mlogloss:0.76143
[10]	validation_0-mlogloss:0.71542
[11]	validation_0-mlogloss:0.67375
[12]	validation_0-mlogloss:0.63694
[13]	validation_0-mlogloss:0.60370
[14]	validation_0-mlogloss:0.57396
[15]	validation_0-mlogloss:0.54697
[16]	validation_0-mlogloss:0.52265
[17]	validation_0-mlogloss:0.50103
[18]	validation_0-mlogloss:0.48177
[19]	validation_0-mlogloss:0.46396
[20]	validation_0-mlogloss:0.44793
[21]	validation_0-mlogloss:0.43360
[22]	validation_0-mlogloss:0.41985
[23]	validation_0-mlogloss:0.40697
[24]	validation_0-mlogloss:0.39559
[25]	validation_0-mlogloss:0.38560
[26]	validation_0-mlogloss:0.37619
[27]	validation_0-mlogloss:0.36775
[28]	validation_0-mlogloss:0.36018
[29]	validation_0-mlogloss:0.35292
[30]	validation_0-mlogloss:0.34611
[31]	validation_0-mlogloss:0.34021
[32]	validation_0-mlogloss:0.33463
[33]	validation_0-mlogloss:0.32985
[34]	validation_0-mlogloss:0.32537
[35]	validation_0-mlogloss:0.32146
[36]	validation_0-mlogloss:0.31789
[37]	validation_0-mlogloss:0.31447
[38]	validation_0-mlogloss:0.31156
[39]	validation_0-mlogloss:0.30875
[40]	validation_0-mlogloss:0.30668
[41]	validation_0-mlogloss:0.30429
[42]	validation_0-mlogloss:0.30218
[43]	validation_0-mlogloss:0.30010
[44]	validation_0-mlogloss:0.29806
[45]	validation_0-mlogloss:0.29628
[46]	validation_0-mlogloss:0.29478
[47]	validation_0-mlogloss:0.29306
[48]	validation_0-mlogloss:0.29172
[49]	validation_0-mlogloss:0.29070
[50]	validation_0-mlogloss:0.28973
[51]	validation_0-mlogloss:0.28864
[52]	validation_0-mlogloss:0.28781
[53]	validation_0-mlogloss:0.28696
[54]	validation_0-mlogloss:0.28606
[55]	validation_0-mlogloss:0.28507
[56]	validation_0-mlogloss:0.28467
[57]	validation_0-mlogloss:0.28399
[58]	validation_0-mlogloss:0.28344
[59]	validation_0-mlogloss:0.28315
[60]	validation_0-mlogloss:0.28272
[61]	validation_0-mlogloss:0.28222
[62]	validation_0-mlogloss:0.28183
[63]	validation_0-mlogloss:0.28155
[64]	validation_0-mlogloss:0.28135
[65]	validation_0-mlogloss:0.28110
[66]	validation_0-mlogloss:0.28088
[67]	validation_0-mlogloss:0.28087
[68]	validation_0-mlogloss:0.28072
[69]	validation_0-mlogloss:0.28080
[70]	validation_0-mlogloss:0.28087
[71]	validation_0-mlogloss:0.28063
[72]	validation_0-mlogloss:0.28074
[73]	validation_0-mlogloss:0.28096
[74]	validation_0-mlogloss:0.28075
[75]	validation_0-mlogloss:0.28057
[76]	validation_0-mlogloss:0.28060
[77]	validation_0-mlogloss:0.28084
[78]	validation_0-mlogloss:0.28117
[79]	validation_0-mlogloss:0.28106
[80]	validation_0-mlogloss:0.28115
[81]	validation_0-mlogloss:0.28117
[82]	validation_0-mlogloss:0.28138
[83]	validation_0-mlogloss:0.28161
[84]	validation_0-mlogloss:0.28197
[85]	validation_0-mlogloss:0.28215
[86]	validation_0-mlogloss:0.28229
[87]	validation_0-mlogloss:0.28260
[88]	validation_0-mlogloss:0.28247
[89]	validation_0-mlogloss:0.28274
[90]	validation_0-mlogloss:0.28304
[91]	validation_0-mlogloss:0.28303
[92]	validation_0-mlogloss:0.28326
[93]	validation_0-mlogloss:0.28321
[94]	validation_0-mlogloss:0.28325
[95]	validation_0-mlogloss:0.28326
[96]	validation_0-mlogloss:0.28361
[97]	validation_0-mlogloss:0.28382
[98]	validation_0-mlogloss:0.28402
[99]	validation_0-mlogloss:0.28427
[100]	validation_0-mlogloss:0.28463
[101]	validation_0-mlogloss:0.28482
[102]	validation_0-mlogloss:0.28498
[103]	validation_0-mlogloss:0.28504
[104]	validation_0-mlogloss:0.28507
[105]	validation_0-mlogloss:0.28524
[106]	validation_0-mlogloss:0.28534
[107]	validation_0-mlogloss:0.28557
[108]	validation_0-mlogloss:0.28577
[109]	validation_0-mlogloss:0.28580
[110]	validation_0-mlogloss:0.28612
[111]	validation_0-mlogloss:0.28645
[112]	validation_0-mlogloss:0.28660
[113]	validation_0-mlogloss:0.28693
[114]	validation_0-mlogloss:0.28724
[115]	validation_0-mlogloss:0.28760
[116]	validation_0-mlogloss:0.28791
[117]	validation_0-mlogloss:0.28819
[118]	validation_0-mlogloss:0.28840
[119]	validation_0-mlogloss:0.28874
[120]	validation_0-mlogloss:0.28910
[121]	validation_0-mlogloss:0.28938
[122]	validation_0-mlogloss:0.28990
[123]	validation_0-mlogloss:0.29044
[124]	validation_0-mlogloss:0.29069
[125]	validation_0-mlogloss:0.29095
[126]	validation_0-mlogloss:0.29136
[127]	validation_0-mlogloss:0.29153
[128]	validation_0-mlogloss:0.29170
[129]	validation_0-mlogloss:0.29197
[130]	validation_0-mlogloss:0.29233
[131]	validation_0-mlogloss:0.29260
[132]	validation_0-mlogloss:0.29267
[133]	validation_0-mlogloss:0.29284
[134]	validation_0-mlogloss:0.29296
[135]	validation_0-mlogloss:0.29314
[136]	validation_0-mlogloss:0.29344
[137]	validation_0-mlogloss:0.29377
[138]	validation_0-mlogloss:0.29392
[139]	validation_0-mlogloss:0.29429
[140]	validation_0-mlogloss:0.29447
[141]	validation_0-mlogloss:0.29476
[142]	validation_0-mlogloss:0.29510
[143]	validation_0-mlogloss:0.29537
[144]	validation_0-mlogloss:0.29569
[145]	validation_0-mlogloss:0.29611
[146]	validation_0-mlogloss:0.29659
[147]	validation_0-mlogloss:0.29715
[148]	validation_0-mlogloss:0.29745
[149]	validation_0-mlogloss:0.29764
[150]	validation_0-mlogloss:0.29780
[151]	validation_0-mlogloss:0.29833
[152]	validation_0-mlogloss:0.29888
[153]	validation_0-mlogloss:0.29906
[154]	validation_0-mlogloss:0.29938
[155]	validation_0-mlogloss:0.29987
[156]	validation_0-mlogloss:0.30044
[157]	validation_0-mlogloss:0.30065
[158]	validation_0-mlogloss:0.30118
[159]	validation_0-mlogloss:0.30149
[160]	validation_0-mlogloss:0.30176
[161]	validation_0-mlogloss:0.30204
[162]	validation_0-mlogloss:0.30230
[163]	validation_0-mlogloss:0.30295
[164]	validation_0-mlogloss:0.30337
[165]	validation_0-mlogloss:0.30366
[166]	validation_0-mlogloss:0.30379
[167]	validation_0-mlogloss:0.30421
[168]	validation_0-mlogloss:0.30437
[169]	validation_0-mlogloss:0.30447
[170]	validation_0-mlogloss:0.30490
[171]	validation_0-mlogloss:0.30537
[172]	validation_0-mlogloss:0.30561
[173]	validation_0-mlogloss:0.30580
[174]	validation_0-mlogloss:0.30568
[175]	validation_0-mlogloss:0.30584
[176]	validation_0-mlogloss:0.30603
[177]	validation_0-mlogloss:0.30625
[178]	validation_0-mlogloss:0.30653
[179]	validation_0-mlogloss:0.30680
[180]	validation_0-mlogloss:0.30698
