[0]	validation_0-mlogloss:1.67982
[1]	validation_0-mlogloss:1.48701
[2]	validation_0-mlogloss:1.33601
[3]	validation_0-mlogloss:1.21095
[4]	validation_0-mlogloss:1.10716
[5]	validation_0-mlogloss:1.01755
[6]	validation_0-mlogloss:0.94068
[7]	validation_0-mlogloss:0.87264
[8]	validation_0-mlogloss:0.81278
[9]	validation_0-mlogloss:0.76052
[10]	validation_0-mlogloss:0.71417
[11]	validation_0-mlogloss:0.67289
[12]	validation_0-mlogloss:0.63596
[13]	validation_0-mlogloss:0.60276
[14]	validation_0-mlogloss:0.57306
[15]	validation_0-mlogloss:0.54674
[16]	validation_0-mlogloss:0.52219
[17]	validation_0-mlogloss:0.50030
[18]	validation_0-mlogloss:0.48077
[19]	validation_0-mlogloss:0.46334
[20]	validation_0-mlogloss:0.44709
[21]	validation_0-mlogloss:0.43187
[22]	validation_0-mlogloss:0.41810
[23]	validation_0-mlogloss:0.40584
[24]	validation_0-mlogloss:0.39468
[25]	validation_0-mlogloss:0.38469
[26]	validation_0-mlogloss:0.37572
[27]	validation_0-mlogloss:0.36733
[28]	validation_0-mlogloss:0.35949
[29]	validation_0-mlogloss:0.35258
[30]	validation_0-mlogloss:0.34611
[31]	validation_0-mlogloss:0.34002
[32]	validation_0-mlogloss:0.33508
[33]	validation_0-mlogloss:0.33020
[34]	validation_0-mlogloss:0.32595
[35]	validation_0-mlogloss:0.32204
[36]	validation_0-mlogloss:0.31846
[37]	validation_0-mlogloss:0.31480
[38]	validation_0-mlogloss:0.31155
[39]	validation_0-mlogloss:0.30882
[40]	validation_0-mlogloss:0.30666
[41]	validation_0-mlogloss:0.30458
[42]	validation_0-mlogloss:0.30222
[43]	validation_0-mlogloss:0.30016
[44]	validation_0-mlogloss:0.29866
[45]	validation_0-mlogloss:0.29708
[46]	validation_0-mlogloss:0.29557
[47]	validation_0-mlogloss:0.29418
[48]	validation_0-mlogloss:0.29260
[49]	validation_0-mlogloss:0.29189
[50]	validation_0-mlogloss:0.29076
[51]	validation_0-mlogloss:0.28985
[52]	validation_0-mlogloss:0.28933
[53]	validation_0-mlogloss:0.28880
[54]	validation_0-mlogloss:0.28814
[55]	validation_0-mlogloss:0.28751
[56]	validation_0-mlogloss:0.28685
[57]	validation_0-mlogloss:0.28627
[58]	validation_0-mlogloss:0.28575
[59]	validation_0-mlogloss:0.28516
[60]	validation_0-mlogloss:0.28461
[61]	validation_0-mlogloss:0.28409
[62]	validation_0-mlogloss:0.28391
[63]	validation_0-mlogloss:0.28370
[64]	validation_0-mlogloss:0.28352
[65]	validation_0-mlogloss:0.28345
[66]	validation_0-mlogloss:0.28332
[67]	validation_0-mlogloss:0.28309
[68]	validation_0-mlogloss:0.28314
[69]	validation_0-mlogloss:0.28304
[70]	validation_0-mlogloss:0.28311
