[0]	validation_0-mlogloss:1.67973
[1]	validation_0-mlogloss:1.48694
[2]	validation_0-mlogloss:1.33546
[3]	validation_0-mlogloss:1.21192
[4]	validation_0-mlogloss:1.10830
[5]	validation_0-mlogloss:1.01940
[6]	validation_0-mlogloss:0.94256
[7]	validation_0-mlogloss:0.87539
[8]	validation_0-mlogloss:0.81655
[9]	validation_0-mlogloss:0.76422
[10]	validation_0-mlogloss:0.71825
[11]	validation_0-mlogloss:0.67772
[12]	validation_0-mlogloss:0.64154
[13]	validation_0-mlogloss:0.60915
[14]	validation_0-mlogloss:0.57986
[15]	validation_0-mlogloss:0.55254
[16]	validation_0-mlogloss:0.52831
[17]	validation_0-mlogloss:0.50657
[18]	validation_0-mlogloss:0.48631
[19]	validation_0-mlogloss:0.46858
[20]	validation_0-mlogloss:0.45280
[21]	validation_0-mlogloss:0.43794
[22]	validation_0-mlogloss:0.42433
[23]	validation_0-mlogloss:0.41236
[24]	validation_0-mlogloss:0.40147
[25]	validation_0-mlogloss:0.39143
[26]	validation_0-mlogloss:0.38250
[27]	validation_0-mlogloss:0.37399
[28]	validation_0-mlogloss:0.36603
[29]	validation_0-mlogloss:0.35898
[30]	validation_0-mlogloss:0.35255
[31]	validation_0-mlogloss:0.34676
[32]	validation_0-mlogloss:0.34158
[33]	validation_0-mlogloss:0.33664
[34]	validation_0-mlogloss:0.33249
[35]	validation_0-mlogloss:0.32837
[36]	validation_0-mlogloss:0.32496
[37]	validation_0-mlogloss:0.32150
[38]	validation_0-mlogloss:0.31852
[39]	validation_0-mlogloss:0.31576
[40]	validation_0-mlogloss:0.31338
[41]	validation_0-mlogloss:0.31110
[42]	validation_0-mlogloss:0.30895
[43]	validation_0-mlogloss:0.30736
[44]	validation_0-mlogloss:0.30561
[45]	validation_0-mlogloss:0.30402
[46]	validation_0-mlogloss:0.30270
[47]	validation_0-mlogloss:0.30155
[48]	validation_0-mlogloss:0.30050
[49]	validation_0-mlogloss:0.29958
[50]	validation_0-mlogloss:0.29838
[51]	validation_0-mlogloss:0.29731
[52]	validation_0-mlogloss:0.29645
[53]	validation_0-mlogloss:0.29594
[54]	validation_0-mlogloss:0.29516
[55]	validation_0-mlogloss:0.29444
[56]	validation_0-mlogloss:0.29384
[57]	validation_0-mlogloss:0.29330
[58]	validation_0-mlogloss:0.29291
[59]	validation_0-mlogloss:0.29251
[60]	validation_0-mlogloss:0.29221
[61]	validation_0-mlogloss:0.29200
[62]	validation_0-mlogloss:0.29158
[63]	validation_0-mlogloss:0.29093
[64]	validation_0-mlogloss:0.29062
[65]	validation_0-mlogloss:0.29044
[66]	validation_0-mlogloss:0.29022
[67]	validation_0-mlogloss:0.29001
[68]	validation_0-mlogloss:0.28997
[69]	validation_0-mlogloss:0.28987
[70]	validation_0-mlogloss:0.28970
[71]	validation_0-mlogloss:0.28966
[72]	validation_0-mlogloss:0.28971
[73]	validation_0-mlogloss:0.28987
[74]	validation_0-mlogloss:0.28980
[75]	validation_0-mlogloss:0.28971
[76]	validation_0-mlogloss:0.28983
[77]	validation_0-mlogloss:0.28991
[78]	validation_0-mlogloss:0.29007
[79]	validation_0-mlogloss:0.29036
[80]	validation_0-mlogloss:0.29046
[81]	validation_0-mlogloss:0.29036
[82]	validation_0-mlogloss:0.29051
[83]	validation_0-mlogloss:0.29034
[84]	validation_0-mlogloss:0.29032
[85]	validation_0-mlogloss:0.29046
[86]	validation_0-mlogloss:0.29069
[87]	validation_0-mlogloss:0.29075
[88]	validation_0-mlogloss:0.29084
[89]	validation_0-mlogloss:0.29095
[90]	validation_0-mlogloss:0.29106
[91]	validation_0-mlogloss:0.29118
[92]	validation_0-mlogloss:0.29145
[93]	validation_0-mlogloss:0.29163
[94]	validation_0-mlogloss:0.29170
[95]	validation_0-mlogloss:0.29188
[96]	validation_0-mlogloss:0.29208
[97]	validation_0-mlogloss:0.29218
