[15:03:32] WARNING: C:/Users/Administrator/workspace/xgboost-win64_release_1.6.0/src/learner.cc:627:
Parameters: { "device", "param_grid" } might not be used.
  This could be a false alarm, with some parameters getting used by language bindings but
  then being mistakenly passed down to XGBoost core, or some parameter actually being used
  but getting flagged wrongly here. Please open an issue if you find any such cases.
[0]	validation_0-mlogloss:1.24525
[1]	validation_0-mlogloss:0.96248
[2]	validation_0-mlogloss:0.78505
[3]	validation_0-mlogloss:0.66395
[4]	validation_0-mlogloss:0.57625
[5]	validation_0-mlogloss:0.51249
[6]	validation_0-mlogloss:0.46256
[7]	validation_0-mlogloss:0.42605
[8]	validation_0-mlogloss:0.39524
[9]	validation_0-mlogloss:0.37247
[10]	validation_0-mlogloss:0.35465
[11]	validation_0-mlogloss:0.33954
[12]	validation_0-mlogloss:0.32810
[13]	validation_0-mlogloss:0.32005
[14]	validation_0-mlogloss:0.31281
[15]	validation_0-mlogloss:0.30772
[16]	validation_0-mlogloss:0.30254
[17]	validation_0-mlogloss:0.29847
[18]	validation_0-mlogloss:0.29418
[19]	validation_0-mlogloss:0.29086
[20]	validation_0-mlogloss:0.28845
[21]	validation_0-mlogloss:0.28673
[22]	validation_0-mlogloss:0.28444
[23]	validation_0-mlogloss:0.28303
[24]	validation_0-mlogloss:0.28143
[25]	validation_0-mlogloss:0.28051
[26]	validation_0-mlogloss:0.27941
[27]	validation_0-mlogloss:0.27902
[28]	validation_0-mlogloss:0.27817
[29]	validation_0-mlogloss:0.27756
[30]	validation_0-mlogloss:0.27617
[31]	validation_0-mlogloss:0.27591
[32]	validation_0-mlogloss:0.27577
[33]	validation_0-mlogloss:0.27528
[34]	validation_0-mlogloss:0.27462
[35]	validation_0-mlogloss:0.27454
[36]	validation_0-mlogloss:0.27357
[37]	validation_0-mlogloss:0.27365
[38]	validation_0-mlogloss:0.27340
[39]	validation_0-mlogloss:0.27311
[40]	validation_0-mlogloss:0.27356
[41]	validation_0-mlogloss:0.27347
[42]	validation_0-mlogloss:0.27442
[43]	validation_0-mlogloss:0.27389
[44]	validation_0-mlogloss:0.27411
[45]	validation_0-mlogloss:0.27374
[46]	validation_0-mlogloss:0.27381
[47]	validation_0-mlogloss:0.27393
[48]	validation_0-mlogloss:0.27396
[49]	validation_0-mlogloss:0.27368
[50]	validation_0-mlogloss:0.27403
[51]	validation_0-mlogloss:0.27380
[52]	validation_0-mlogloss:0.27397
[53]	validation_0-mlogloss:0.27461
[54]	validation_0-mlogloss:0.27441
[55]	validation_0-mlogloss:0.27483
[56]	validation_0-mlogloss:0.27545
[57]	validation_0-mlogloss:0.27580
[58]	validation_0-mlogloss:0.27624
[59]	validation_0-mlogloss:0.27652
[60]	validation_0-mlogloss:0.27640
[61]	validation_0-mlogloss:0.27668
[62]	validation_0-mlogloss:0.27738
[63]	validation_0-mlogloss:0.27765
[64]	validation_0-mlogloss:0.27812
[65]	validation_0-mlogloss:0.27837
[66]	validation_0-mlogloss:0.27874
[67]	validation_0-mlogloss:0.27900
[68]	validation_0-mlogloss:0.27955
[69]	validation_0-mlogloss:0.27981
[70]	validation_0-mlogloss:0.28000
[71]	validation_0-mlogloss:0.28037
[72]	validation_0-mlogloss:0.28085
[73]	validation_0-mlogloss:0.28127
[74]	validation_0-mlogloss:0.28175
[75]	validation_0-mlogloss:0.28226
[76]	validation_0-mlogloss:0.28259
[77]	validation_0-mlogloss:0.28302
[78]	validation_0-mlogloss:0.28337
[79]	validation_0-mlogloss:0.28465
[80]	validation_0-mlogloss:0.28485
[81]	validation_0-mlogloss:0.28586
[82]	validation_0-mlogloss:0.28609
[83]	validation_0-mlogloss:0.28660
[84]	validation_0-mlogloss:0.28673
[85]	validation_0-mlogloss:0.28743
[86]	validation_0-mlogloss:0.28810
[87]	validation_0-mlogloss:0.28824
[88]	validation_0-mlogloss:0.28879
[89]	validation_0-mlogloss:0.28908
[90]	validation_0-mlogloss:0.28947
[91]	validation_0-mlogloss:0.28998
[92]	validation_0-mlogloss:0.29031
[93]	validation_0-mlogloss:0.29133
[94]	validation_0-mlogloss:0.29163
[95]	validation_0-mlogloss:0.29204
[96]	validation_0-mlogloss:0.29242
[97]	validation_0-mlogloss:0.29289
[98]	validation_0-mlogloss:0.29358
[99]	validation_0-mlogloss:0.29397
